Código Capítulo;Capítulo Descripción;Exportaciones;Mes;NUM;Año
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;372965.8733;Junio;6;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;546219.8211;Julio;7;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;297134.8872;Agosto;8;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;427968.3624;Septiembre;9;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1064984.75;Octubre;10;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;2688478.873;Noviembre;11;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1407960.488;Diciembre;12;2022
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1171715.956;Enero;1;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1343501.702;Febrero;2;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1769552.375;Marzo;3;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;815209.4841;Abril;4;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1008420.133;Mayo;5;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1423559.127;Junio;6;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;675785.1446;Julio;7;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;1132761.411;Agosto;8;2023
3;Pescados y crustáceos, moluscos y demás invertebrados acuáticos.;569537.2159;Septiembre;9;2023
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1112707.39;Enero;1;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1102827.123;Febrero;2;2017
4;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal no expresados ni comprendidos en otra parte.";1746217.949;Marzo;3;2017
